,selling_price,make,model,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
67,5.2,Hyundai,Verna 1.6 CRDI,10.0,Individual,110000,Diesel,Manual,22.32,1582.0,126.3,5.0
68,7.5,Hyundai,i20 Asta Option 1.4 CRDi,8.0,Individual,70000,Diesel,Manual,22.54,1396.0,88.73,5.0
69,5.6,Maruti,Swift Dzire VDI,7.0,Individual,70000,Diesel,Manual,26.59,1248.0,74.0,5.0
70,2.0,Tata,Vista TDI LS,10.0,Individual,190000,Diesel,Manual,19.1,1405.0,70.0,5.0
71,6.0,Hyundai,Xcent 1.2 CRDi SX,7.0,Individual,40000,Diesel,Manual,25.4,1186.0,73.97,5.0
72,6.55,Hyundai,i20 1.2 Spotz,5.0,Dealer,39000,Petrol,Manual,18.6,1197.0,81.83,5.0
73,1.25,Hyundai,Santro Xing XE,17.0,Dealer,56000,Petrol,Manual,17.8,1086.0,63.0,5.0
74,4.25,Toyota,Corolla Altis 1.8 VL AT,15.0,Dealer,58000,Petrol,Automatic,14.53,1794.0,138.1,5.0
75,2.2,Maruti,Omni E MPI STD BS IV,7.0,Individual,40000,Petrol,Manual,16.8,796.0,34.2,8.0
76,5.5,Hyundai,i20 1.2 Spotz,6.0,Individual,34000,Petrol,Manual,18.6,1197.0,81.83,5.0
77,11.5,Mahindra,Scorpio 1.99 S10,7.0,Individual,50000,Diesel,Manual,15.4,1997.0,120.0,7.0
78,5.0,Volkswagen,Vento Diesel Highline,12.0,Individual,77400,Diesel,Manual,20.54,1598.0,103.6,5.0
79,9.9,Mahindra,Marazzo M2 BSIV,5.0,Individual,36000,Diesel,Manual,17.3,1497.0,121.0,7.0
80,5.51,Hyundai,Verna SX Opt Diesel,11.0,Dealer,47876,Diesel,Manual,25.0,1493.0,113.42,5.0
81,16.5,Mahindra,XUV500 W11 Option AT BSIV,6.0,Individual,21500,Diesel,Automatic,15.1,2179.0,152.87,7.0
82,3.5,Hyundai,Grand i10 CRDi Magna,9.0,Dealer,75000,Diesel,Manual,24.0,1120.0,70.0,5.0
83,5.0,Ford,Aspire 1.2 Ti-VCT Titanium,7.0,Dealer,58000,Petrol,Manual,18.16,1196.0,86.8,5.0
84,5.75,Maruti,Swift Dzire VXI 1.2,6.0,Individual,30000,Petrol,Manual,21.21,1197.0,81.8,5.0
85,5.45,Hyundai,Grand i10 1.2 CRDi Asta,6.0,Individual,50000,Diesel,Manual,24.0,1186.0,73.97,5.0
86,5.25,Ford,Figo 1.2P Titanium MT,7.0,Trustmark Dealer,19093,Petrol,Manual,18.16,1196.0,86.8,5.0
87,4.0,Honda,Amaze E i-Vtech,10.0,Individual,50000,Petrol,Manual,18.0,1198.0,86.7,5.0
88,1.55,Maruti,Wagon R LXI BSIII,18.0,Dealer,37000,Petrol,Manual,14.0,1061.0,64.0,5.0
89,5.4,Mahindra,Supro VX 8 Str,5.0,Individual,3888,Diesel,Manual,23.5,909.0,45.0,8.0
90,5.45,Maruti,Swift Dzire VDI,8.0,Dealer,47000,Diesel,Manual,26.59,1248.0,74.0,5.0
91,5.45,Honda,City V MT,11.0,Individual,70000,Petrol,Manual,16.8,1497.0,116.3,5.0
92,2.4,Renault,KWID RXL,8.0,Individual,25000,Petrol,Manual,25.17,799.0,53.3,5.0
93,7.25,Maruti,Vitara Brezza LDi Option,6.0,Dealer,26000,Diesel,Manual,24.3,1248.0,88.5,5.0
94,4.8,Ford,Aspire 1.2 Ti-VCT Titanium Opt,7.0,Individual,30000,Petrol,Manual,18.16,1196.0,86.8,5.0
95,3.75,Hyundai,i20 Magna Optional 1.2,11.0,Individual,15000,Petrol,Manual,18.5,1197.0,82.9,5.0
96,2.25,Maruti,Swift VDi BSIII W/ ABS,13.0,Individual,160000,Diesel,Manual,17.8,1248.0,75.0,5.0
97,4.0,Tata,Tiago 1.2 Revotron XZ,7.0,Individual,32100,Petrol,Manual,23.84,1199.0,84.0,5.0
98,5.5,Hyundai,i20 Magna Optional 1.2,8.0,Dealer,22000,Petrol,Manual,18.5,1197.0,82.9,5.0
99,10.5,Mahindra,Scorpio S10 7 Seater,8.0,Dealer,44000,Diesel,Manual,15.4,2179.0,120.0,7.0
100,4.5,Volkswagen,Polo 1.2 MPI Trendline,8.0,Dealer,78000,Petrol,Manual,18.78,1198.0,74.0,5.0
101,7.75,Mercedes-Benz,C-Class C 200 CGI Elegance,12.0,Dealer,74352,Petrol,Automatic,11.74,1796.0,186.0,5.0
102,3.5,Maruti,Wagon R VXI,10.0,Individual,37000,Petrol,Manual,20.51,998.0,67.04,5.0
103,5.5,Honda,City i DTEC VX Option,10.0,Dealer,69000,Diesel,Manual,25.1,1498.0,98.6,5.0
104,10.8,Kia,Seltos HTK Plus G,5.0,Individual,12120,Petrol,Manual,16.8,1497.0,113.4,5.0
105,5.75,Maruti,Baleno Delta,8.0,Dealer,52000,Petrol,Manual,21.01,1197.0,81.8,5.0
106,9.5,Toyota,Innova 2.5 G (Diesel) 8 Seater,8.0,Individual,120000,Diesel,Manual,12.99,2494.0,100.6,8.0
107,2.3,Maruti,Alto 800 LXI,11.0,Individual,55000,Petrol,Manual,22.74,796.0,47.3,5.0
108,2.7,Hyundai,i20 1.4 CRDi Magna,13.0,Individual,160000,Diesel,Manual,21.9,1396.0,90.0,5.0
109,1.65,Chevrolet,Beat Diesel LS,12.0,Dealer,42000,Diesel,Manual,25.44,936.0,56.3,5.0
110,1.3,Ford,Figo Petrol EXI,13.0,Individual,40000,Petrol,Manual,15.6,1196.0,70.0,5.0
111,3.7,Maruti,Swift Dzire VXI,12.0,Dealer,46000,Petrol,Manual,19.1,1197.0,85.8,5.0
112,5.7,Maruti,Baleno Delta 1.2,7.0,Dealer,25000,Petrol,Manual,21.4,1197.0,83.1,5.0
113,3.9,Toyota,Etios GD,9.0,Individual,240000,Diesel,Manual,23.59,1364.0,67.05,5.0
114,3.65,Volkswagen,Polo Diesel Comfortline 1.2L,11.0,Dealer,90000,Diesel,Manual,22.07,1199.0,73.9,5.0
115,2.8,Hyundai,i20 Magna,12.0,Dealer,49566,Petrol,Manual,18.5,1197.0,82.85,5.0
116,12.5,Hyundai,Verna CRDi 1.6 AT SX Option,6.0,Dealer,14000,Diesel,Automatic,22.0,1582.0,126.2,5.0
117,5.9,Hyundai,i20 2015-2017 Sportz 1.2,8.0,Dealer,11000,Petrol,Manual,18.6,1197.0,81.83,5.0
118,4.75,Maruti,Celerio VXI AMT BSIV,6.0,Individual,5000,Petrol,Automatic,23.1,998.0,67.04,5.0
119,6.85,Ford,Ecosport 2015-2021 1.5 Diesel Titanium BSIV,7.0,Dealer,55000,Diesel,Manual,23.0,1498.0,98.96,5.0
120,3.8,Hyundai,Verna SX CRDi AT,12.0,Dealer,65000,Diesel,Automatic,19.08,1582.0,126.32,5.0
121,3.3,Renault,KWID 1.0 RXT Optional,6.0,Individual,22000,Petrol,Manual,23.01,999.0,67.0,5.0
122,6.5,Maruti,Baleno Delta,6.0,Trustmark Dealer,7671,Petrol,Manual,21.01,1197.0,81.8,5.0
123,3.25,Maruti,Wagon R LXI,8.0,Individual,66000,Petrol,Manual,20.51,998.0,67.04,5.0
124,6.4,Maruti,Swift Dzire AMT VXI,6.0,Dealer,45156,Petrol,Automatic,21.21,1197.0,81.8,5.0
125,9.49,Hyundai,Venue SX Opt Turbo BSIV,5.0,Individual,25000,Petrol,Manual,18.27,998.0,118.35,5.0
126,7.5,Nissan,Terrano XL Plus 85 PS,9.0,Individual,70000,Diesel,Manual,20.45,1461.0,83.8,5.0
127,6.6,Hyundai,Verna 1.6 CRDi SX,9.0,Individual,120000,Diesel,Manual,23.9,1582.0,126.2,5.0
128,4.35,Maruti,Swift VXi BSIV,10.0,Dealer,28000,Petrol,Manual,16.1,1197.0,85.0,5.0
129,3.85,Hyundai,i20 Sportz 1.4 CRDi,11.0,Dealer,55000,Diesel,Manual,21.9,1396.0,88.76,5.0
130,10.0,Hyundai,Santa Fe 4X2,13.0,Individual,104000,Diesel,Manual,14.66,2199.0,194.3,7.0
131,12.5,Hyundai,Verna CRDi 1.6 AT SX Option,5.0,Dealer,14000,Diesel,Automatic,22.0,1582.0,126.2,5.0
132,5.5,Hyundai,Xcent 1.2 VTVT SX,7.0,Individual,18000,Petrol,Manual,20.14,1197.0,81.86,5.0
133,1.55,Maruti,Wagon R LX BS IV,15.0,Dealer,98780,Petrol,Manual,18.9,998.0,67.1,5.0
134,4.15,Maruti,Swift VDI BSIV,9.0,Dealer,58000,Diesel,Manual,25.2,1248.0,74.0,5.0
135,2.51,Maruti,Alto K10 2010-2014 VXI,13.0,Individual,30000,Petrol,Manual,20.92,998.0,67.1,5.0
136,11.5,Mahindra,Scorpio S10 7 Seater,8.0,Dealer,46400,Diesel,Manual,15.4,2179.0,120.0,7.0
137,3.1,Hyundai,i10 Magna 1.1L,10.0,Trustmark Dealer,32111,Petrol,Manual,19.81,1086.0,68.05,5.0
138,3.5,Datsun,GO Plus T BSIV,9.0,Individual,35000,Petrol,Manual,19.44,1198.0,67.0,7.0
139,11.25,Mahindra,Scorpio 1.99 S6 Plus,7.0,Dealer,30000,Diesel,Manual,15.4,1997.0,120.0,7.0
140,26.0,BMW,5 Series 530d M Sport,8.0,Dealer,63000,Diesel,Automatic,18.59,2993.0,261.49,5.0
141,2.0,Chevrolet,Beat LT,7.0,Individual,43890,Petrol,Manual,17.8,1199.0,76.8,5.0
142,4.8,Datsun,GO Plus Anniversary Edition,6.0,Individual,10000,Petrol,Manual,20.62,1198.0,67.0,7.0
143,8.5,Maruti,Swift Dzire AMT ZDI Plus,7.0,Individual,25000,Diesel,Automatic,28.4,1248.0,74.02,5.0
144,11.0,Hyundai,Creta 1.6 CRDi AT SX Plus,7.0,Dealer,102000,Diesel,Automatic,17.01,1582.0,126.2,5.0
145,5.75,Maruti,Swift VXI 2018,6.0,Dealer,35000,Petrol,Manual,22.0,1197.0,81.8,5.0
146,3.4,Maruti,Swift Dzire VXi,12.0,Dealer,49948,Petrol,Manual,17.5,1298.0,85.8,5.0
147,5.59,Tata,Indigo eLX BS IV,6.0,Individual,114851,Diesel,Manual,25.0,1396.0,69.01,5.0
148,9.25,Ford,Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,6.0,Individual,55000,Diesel,Manual,23.0,1498.0,98.96,5.0
149,4.0,Hyundai,Grand i10 Magna,9.0,Dealer,36000,Petrol,Manual,18.9,1197.0,82.0,5.0
150,5.6,Hyundai,Xcent 1.2 CRDi S,5.0,Individual,35000,Diesel,Manual,25.4,1186.0,73.97,5.0
151,7.25,Honda,City i VTEC VX Option,8.0,Dealer,49625,Petrol,Manual,17.8,1497.0,117.3,5.0
152,6.0,Maruti,Swift Dzire ZDI,10.0,Individual,35000,Diesel,Manual,23.4,1248.0,74.0,5.0
153,5.5,Mahindra,Scorpio VLX 2WD AIRBAG SE BSIV,11.0,Individual,95000,Diesel,Manual,12.05,2179.0,120.0,8.0
154,5.85,Ford,Aspire 1.5 TDCi Titanium,7.0,Dealer,36000,Diesel,Manual,25.83,1498.0,99.0,5.0
155,4.11,Maruti,Wagon R VXI,5.0,Individual,50000,Petrol,Manual,21.79,998.0,67.05,5.0
156,4.5,Maruti,Swift Dzire VXI,9.0,Individual,26500,Petrol,Manual,20.85,1197.0,83.14,5.0
157,12.9,Honda,CR-V 2.0L 2WD AT,9.0,Dealer,80000,Petrol,Automatic,13.7,1997.0,153.86,5.0
158,4.55,Volkswagen,Polo 1.2 MPI Highline,9.0,Dealer,46000,Petrol,Manual,16.47,1198.0,74.0,5.0
159,7.1,Hyundai,Grand i10 Nios Asta,5.0,Individual,9000,Petrol,Manual,20.7,1197.0,81.86,5.0
160,4.5,Mahindra,TUV 300 T4,8.0,Individual,70000,Diesel,Manual,18.49,1493.0,100.0,7.0
161,4.65,Toyota,Etios Liva 1.2 VX,9.0,Dealer,33000,Petrol,Manual,17.71,1197.0,78.9,5.0
162,7.7,Honda,City V MT,8.0,Dealer,53000,Petrol,Manual,16.8,1497.0,116.3,5.0
163,3.2,Tata,Indigo LS (TDI) BS-III,9.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
164,3.25,Tata,Indigo LX (TDI) BS-III,9.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
165,29.0,Ford,Endeavour 3.2 Titanium AT 4X4,6.0,Individual,11387,Diesel,Automatic,10.91,3198.0,197.0,7.0
166,7.2,Honda,Amaze VX i-DTEC,6.0,Individual,50000,Diesel,Manual,25.8,1498.0,98.6,5.0
167,3.75,Mahindra,KUV 100 mFALCON D75 K6 5str,8.0,Dealer,52000,Diesel,Manual,25.32,1198.0,77.0,5.0
168,1.45,Chevrolet,Aveo 1.4 LT ABS BSIV,14.0,Individual,60000,Petrol,Manual,14.49,1399.0,92.7,5.0
169,4.0,Datsun,GO Plus T BSIV,9.0,Individual,35000,Petrol,Manual,19.44,1198.0,67.0,7.0
170,6.0,Renault,Duster 85PS Diesel RxL Plus,9.0,Individual,48000,Diesel,Manual,19.87,1461.0,83.8,5.0
171,6.0,Honda,Jazz 1.2 V i VTEC,6.0,Individual,18000,Petrol,Manual,18.7,1199.0,88.7,5.0
172,2.7,Maruti,Wagon R LXI DUO,12.0,Individual,57413,LPG,Manual,14.4,998.0,61.7,5.0
173,5.0,Hyundai,i20 Magna 1.2,9.0,Individual,30000,Petrol,Manual,18.6,1197.0,81.83,5.0
174,6.5,Hyundai,Verna 1.6 CRDi SX,9.0,Dealer,55000,Diesel,Manual,23.9,1582.0,126.2,5.0
175,3.8,Chevrolet,Sail 1.2 LS ABS,9.0,Individual,120000,Petrol,Manual,18.2,1199.0,82.4,5.0
176,7.28,Mitsubishi,Pajero Sport 4X4,12.0,Individual,165000,Diesel,Manual,13.5,2477.0,175.56,7.0
177,6.6,Maruti,Swift AMT ZXI,6.0,Individual,10000,Petrol,Automatic,21.21,1197.0,81.8,5.0
178,1.8,Tata,Indica Vista Aura 1.3 Quadrajet,14.0,Individual,120000,Diesel,Manual,18.0,1248.0,75.0,5.0
179,20.9,BMW,3 Series 320d Luxury Line,8.0,Dealer,68000,Diesel,Automatic,22.69,1995.0,190.0,5.0
180,2.5,Chevrolet,Beat Diesel LS,9.0,Dealer,55000,Diesel,Manual,25.44,936.0,56.3,5.0
181,12.75,Kia,Seltos HTK Plus G,4.0,Dealer,8000,Petrol,Manual,16.8,1497.0,113.4,5.0
182,4.55,Toyota,Corolla Altis G,12.0,Dealer,80000,Petrol,Manual,14.53,1798.0,138.1,5.0
183,4.95,Maruti,Swift VDI,9.0,Dealer,65000,Diesel,Manual,28.4,1248.0,74.0,5.0
184,2.2,Maruti,Ritz VXI,14.0,Individual,47000,Petrol,Manual,21.1,1197.0,85.8,5.0
185,8.0,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH,6.0,Individual,185000,Diesel,Manual,25.1,1248.0,88.5,5.0
186,12.95,Hyundai,Santa Fe 2WD AT,10.0,Dealer,68000,Diesel,Automatic,13.01,2199.0,194.3,7.0
187,4.75,Hyundai,Grand i10 Sportz,8.0,Individual,25000,Petrol,Manual,18.9,1197.0,82.0,5.0
188,3.8,Tata,Sumo Gold EX,10.0,Individual,280000,Diesel,Manual,15.3,2956.0,83.83,7.0
189,9.0,Maruti,S-Cross 2017-2020 Zeta DDiS 200 SH,6.0,Individual,7791,Diesel,Manual,25.1,1248.0,88.5,5.0
190,5.3,Maruti,Ciaz VXi Plus,9.0,Individual,70000,Petrol,Manual,20.73,1373.0,91.1,5.0
191,5.3,Tata,Tiago 1.2 Revotron XZ,8.0,Individual,9500,Petrol,Manual,23.84,1199.0,84.0,5.0
192,6.5,Hyundai,Verna 1.6 VTVT S,9.0,Individual,9100,Petrol,Manual,17.01,1591.0,121.3,5.0
193,4.95,Honda,New Accord 2008-2011 2.4 MT,14.0,Dealer,82000,Petrol,Manual,12.8,2354.0,177.6,5.0
194,3.35,Honda,City 1.5 S MT,14.0,Dealer,86000,Petrol,Manual,17.0,1497.0,118.0,5.0
195,12.9,Audi,A4 2.0 TDI,11.0,Dealer,78000,Diesel,Automatic,16.55,1968.0,147.51,5.0
196,3.0,Ford,Figo Diesel Titanium,13.0,Individual,60000,Diesel,Manual,20.0,1399.0,68.0,5.0
197,5.5,Maruti,Wagon R ZXI AMT 1.2BSIV,5.0,Trustmark Dealer,7883,Petrol,Automatic,21.5,1197.0,81.8,5.0
198,3.9,Maruti,Swift Dzire LDI,11.0,Trustmark Dealer,50205,Diesel,Manual,23.4,1248.0,74.0,5.0
199,2.6,Mahindra,Bolero DI AC BSIII,16.0,Individual,220000,Diesel,Manual,13.6,2523.0,63.0,7.0
200,3.95,Tata,Tigor 1.05 Revotorq XT,7.0,Dealer,58000,Diesel,Manual,24.7,1047.0,69.0,5.0
201,5.5,Mahindra,Scorpio SLE BSIII,12.0,Individual,170000,Diesel,Manual,12.05,2179.0,120.0,8.0
202,6.5,Maruti,Swift Dzire VXI 1.2 BS IV,6.0,Individual,15000,Petrol,Manual,22.0,1197.0,81.8,5.0
203,3.75,Maruti,Swift DDiS LDI,8.0,Dealer,71245,Diesel,Manual,28.4,1248.0,74.0,5.0
204,3.0,Tata,Manza ELAN Quadrajet BS IV,12.0,Individual,20000,Diesel,Manual,21.12,1248.0,88.8,5.0
205,4.5,Toyota,Etios VX,8.0,Dealer,52000,Petrol,Manual,16.78,1496.0,88.73,5.0
206,3.35,Honda,Brio S MT,9.0,Individual,61000,Petrol,Manual,19.4,1198.0,86.8,5.0
207,13.0,Kia,Seltos GTK,5.0,Individual,7000,Petrol,Manual,16.1,1353.0,138.0,5.0
208,3.6,Maruti,Alto K10 VXI,6.0,Individual,20000,Petrol,Manual,23.95,998.0,67.05,5.0
209,5.05,Maruti,Celerio ZXI,4.0,Individual,8700,Petrol,Manual,21.63,998.0,67.04,5.0
210,3.1,Maruti,Alto 800 LXI,5.0,Individual,25000,Petrol,Manual,24.7,796.0,47.3,5.0
211,5.45,Hyundai,i20 Asta Option BSIV,9.0,Dealer,42000,Petrol,Manual,18.6,1197.0,81.86,5.0
212,3.0,Mahindra,Xylo E4,15.0,Individual,120000,Diesel,Manual,14.0,2498.0,112.0,7.0
213,2.0,Chevrolet,Aveo 1.4 LS Limited Edition,15.0,Individual,60000,Petrol,Manual,14.4,1399.0,94.0,5.0
214,1.5,Mahindra,Bolero DI,18.0,Individual,120000,Diesel,Manual,13.6,2523.0,63.0,7.0
215,5.8,Maruti,Baleno Delta 1.2,6.0,Individual,50000,Petrol,Manual,21.4,1197.0,83.1,5.0
216,2.5,Maruti,Wagon R VXI BS IV,13.0,Individual,58000,Petrol,Manual,18.9,998.0,67.1,5.0
217,6.5,Hyundai,Verna 1.4 VTVT,7.0,Individual,36000,Petrol,Manual,17.43,1396.0,105.5,5.0
218,8.0,Maruti,SX4 S Cross DDiS 200 Zeta,8.0,Individual,80000,Diesel,Manual,23.65,1248.0,88.5,5.0
219,14.75,Audi,Q3 2.0 TDI Quattro Premium Plus,11.0,Dealer,71000,Diesel,Automatic,15.73,1968.0,174.33,5.0
220,4.1,Maruti,Ertiga VDI,6.0,Individual,30000,Diesel,Manual,25.47,1248.0,88.5,7.0
221,5.31,Ford,Ecosport 2015-2021 1.5 TDCi Titanium BSIV,9.0,Dealer,162828,Diesel,Manual,22.77,1498.0,98.59,5.0
